Denominação Comum Brasileira (DCB),Concentração/Composição,Forma Farmacêutica
fluconazol,100.0 mg,cápsula
fluconazol,150.0 mg,cápsula
fluconazol,2 mg/mL,solução injetável
flumazenil,"0,1 mg/mL",solução injetável
folinato de cálcio,15.0 mg,comprimido
fosamprenavir,50 mg/mL,suspensão oral
fosfato de clindamicina,10 mg/g,gel
fosfato de clindamicina,10 mg/g,solução tópica
fosfato de codeína,3 mg/mL,solução oral
fosfato de codeína,30 mg/mL,solução injetável
fosfato de codeína,30.0 mg,comprimido
fosfato de codeína,60.0 mg,comprimido
fosfato de cálcio tribásico + colecalciferol,"1661,616 mg (600 mg de cálcio) + 400 UI",comprimido
fosfato de oseltamivir,30.0 mg,cápsula
fosfato de oseltamivir,45.0 mg,cápsula
fosfato de oseltamivir,75.0 mg,cápsula
fosfato de potássio monobásico + fosfato de potássio dibásico,"0,03 g/mL + 0,1567 g/mL (equivalente a 2 mEq/mL)",solução injetável
fosfato sódico de prednisolona,1 mg/mL,solução oral
fosfato sódico de prednisolona,3 mg/mL,solução oral
fostensavir trometamol,600.0 mg,comprimido de liberação prolongada
fumarato de dimetila,120.0 mg,cápsula de liberação retardada
fumarato de dimetila,240.0 mg,cápsula de liberação retardada
fumarato de formoterol,12.0 mcg,cápsula inalatória
fumarato de formoterol,12.0 mcg,pó inalatório
fumarato de formoterol + budesonida,12 mcg + 400 mcg,cápsula inalatória
fumarato de formoterol + budesonida,12 mcg + 400 mcg,pó inalatório
fumarato de formoterol + budesonida,6 mcg + 200 mcg,cápsula inalatória
fumarato de formoterol + budesonida,6 mcg + 200 mcg,pó inalatório
fumarato de tenofovir desoproxila,300.0 mg,comprimido
fumarato de tenofovir desoproxila + entricitabina,300 mg + 200 mg,comprimido
fumarato de tenofovir desoproxila + lamivudina,300 mg + 300 mg,comprimido
fumarato de tenofovir desoproxila + lamivudina + efavirenz,300 mg + 300 mg + 600 mg,comprimido
furosemida,10 mg/mL,solução injetável
furosemida,40.0 mg,comprimido
gabapentina,300.0 mg,cápsula
gabapentina,400.0 mg,cápsula
galsulfase,5.0 mg,solução injetável
garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.),30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária),comprimido
garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.),30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária),comprimido de liberação retardada
garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.),30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária),cápsula
gel lubrificante,-,gel
genfibrozila,600.0 mg,comprimido
genfibrozila,900.0 mg,comprimido
gentamicina,5 mg/g,pomada oftálmica
gentamicina,5 mg/mL,solução oftálmica
glecaprevir + pibrentasvir,100 mg + 40 mg,comprimido
glibenclamida,5.0 mg,comprimido
glicerol,120 mg/mL,solução retal
glicerol,72.0 mg,supositório retal
gliclazida,30.0 mg,comprimido de liberação prolongada
gliclazida,60.0 mg,comprimido de liberação prolongada
gliclazida,80.0 mg,comprimido
glicose,100 mg/mL (10%),solução injetável
glicose,50 mg/mL (5%),solução injetável
glicose,500 mg/mL (50%),solução injetável
glutaral,"0.0,02",solução
golimumabe,50.0 mg,solução injetável
guaco (Mikania glomerata Spreng.),"0,5 a 5 mg de cumarina (dose diária)",solução oral
guaco (Mikania glomerata Spreng.),"0,5 a 5 mg de cumarina (dose diária)",tintura
guaco (Mikania glomerata Spreng.),"0,5 a 5 mg de cumarina (dose diária)",xarope
haloperidol,1.0 mg,comprimido
haloperidol,2 mg/mL,solução oral
haloperidol,5 mg/mL,solução injetável
haloperidol,5.0 mg,comprimido
haloperidol,50 mg/mL,solução injetável
hemifumarato de quetiapina,100.0 mg,comprimido
hemifumarato de quetiapina,200.0 mg,comprimido
hemifumarato de quetiapina,25.0 mg,comprimido
hemifumarato de quetiapina,300.0 mg,comprimido
hemifumarato de tenofovir alafenamida,25.0 mg,comprimido
hemitartarato de norepinefrina,2 mg/mL,solução injetável
heparina sódica,"5.000 UI/0,25 mL",solução injetável
hidroclorotiazida,"12,5 mg",comprimido
hidroclorotiazida,25.0 mg,comprimido
hidroxiureia,100.0 mg,comprimido
hidroxiureia,500.0 mg,cápsula
hidróxido de alumínio,230.0 mg,comprimido
hidróxido de alumínio,300.0 mg,comprimido
hidróxido de alumínio,60 mg/mL,suspensão oral
hipoclorito de sódio,10 mg/mL (1%),solução
hipoclorito de sódio,"25 mg/mL (2,5%)",solução
hipromelose,"3 mg/mL (0,3%)",solução oftálmica
hipromelose,"5 mg/mL (0,5%)",solução oftálmica
hortelã (Mentha x piperita L.),60 a 440 mg de mentol e 28 a 256 mg de mentona (dose diária),cápsula
ibuprofeno,200.0 mg,comprimido
ibuprofeno,300.0 mg,comprimido
ibuprofeno,50 mg/mL,suspensão oral
ibuprofeno,600.0 mg,comprimido
ibuprofeno,600.0 mg,cápsula
idursulfase,2 mg/mL,solução injetável
iloprosta,10 mcg/mL,solução inalatória
imiglucerase,400.0 U,pó para solução injetável
imiquimode,50 mg/g,creme
imunoglobulina anti-Rho (D),-,solução injetável
imunoglobulina antitetânica,250 UI/mL,solução injetável
imunoglobulina antitimócitos humanos (coelho),25.0 mg,pó para solução injetável
imunoglobulina humana,"0.0,5 g",pó para solução injetável
imunoglobulina humana,"0.0,5 g",solução injetável
imunoglobulina humana,1.0 g,pó para solução injetável
imunoglobulina humana,1.0 g,solução injetável
imunoglobulina humana,"2.0,5 g",pó para solução injetável
imunoglobulina humana,"2.0,5 g",solução injetável
imunoglobulina humana,5.0 g,pó para solução injetável
imunoglobulina humana,5.0 g,solução injetável
imunoglobulina humana,5.0g,solução injetável
imunoglobulina humana anti- -hepatite B,1.0 UI,solução injetável
imunoglobulina humana anti- -hepatite B,100.0 UI,solução injetável
imunoglobulina humana anti- -hepatite B,180 - 200 UI/mL,solução injetável
imunoglobulina humana anti- -hepatite B,500.0 UI,solução injetável
imunoglobulina humana anti- -hepatite B,600.0 UI,solução injetável
imunoglobulina humana anti-hepatite B,1.0 UI,solução injetável
imunoglobulina humana anti-hepatite B,100.0 UI,solução injetável
imunoglobulina humana anti-hepatite B,180-200 UI/mL,solução injetável
imunoglobulina humana anti-hepatite B,500.0 UI,solução injetável
imunoglobulina humana anti-hepatite B,600.0 UI,solução injetável
imunoglobulina humana antirrábica,150 UI/mL,solução injetável
imunoglobulina humana antivaricela zoster,"125 UI/ 2,5 mL",solução injetável
imunoglobulina humana antivaricela zoster,"125 UI/2,5 mL",solução injetável
infliximabe,100.0 mg,pó para solução injetável
insulina análoga de ação prolongada,100 UI/mL,solução injetável
insulina análoga de ação prolongada,300 UI/mL,solução injetável
insulina análoga de ação rápida,100 UI/mL,solução injetável
insulina humana NPH,100 UI/mL,suspensão injetável
insulina humana regular,100 UI/mL,solução injetável
iodeto de potássio,130.0 mg,comprimido
iodeto de potássio,20 mg/mL,xarope
iodo + iodeto de potássio,20 mg/mL + 40 mg/mL,solução para uso tópico
isetionato de pentamidina,300.0 mg,pó para solução injetável
isoflavona-de-soja (Glycine max (L.) Merr.),50 a 120 mg de isoflavonas (dose diária),comprimido
isoflavona-de-soja (Glycine max (L.) Merr.),50 a 120 mg de isoflavonas (dose diária),cápsula
isoniazida,100.0 mg,comprimido
isoniazida,300.0 mg,comprimido
isotretinoína,10.0 mg,cápsula
isotretinoína,20.0 mg,cápsula
itraconazol,10 mg/mL,solução oral
itraconazol,100.0 mg,cápsula
ivacaftor,150.0 mg,comprimido
ivermectina,6.0 mg,comprimido
lactato de biperideno,5 mg/mL,solução injetável
lactulose,667 mg/mL,xarope
lamivudina,10 mg/mL,solução oral
lamivudina,150.0 mg,comprimido
lamotrigina,100.0 mg,comprimido
lamotrigina,25.0 mg,comprimido
lamotrigina,50.0 mg,comprimido
lancetas para punção digital,-,unidade
laronidase,"0,58 mg/mL",solução injetável
latanoprosta,"0,05 mg/mL (0,005%)",solução oftálmica
ledipasvir + sofosbovir,90 mg + 400 mg,comprimido
ledipasvir + sofosbuvir,90 mg + 400 mg,comprimido
leflunomida,20.0 mg,comprimido
levetiracetam,1.0 mg,comprimido
levetiracetam,100 mg/mL,solução oral
levetiracetam,250.0 mg,comprimido
levetiracetam,500.0 mg,comprimido
levetiracetam,750.0 mg,comprimido
levodopa + benserazida,100 mg + 25 mg,comprimido
levodopa + benserazida,100 mg + 25 mg,cápsula
levodopa + benserazida,200 mg + 50 mg,comprimido
levodopa + carbidopa,200 mg + 50 mg,comprimido
levodopa + carbidopa,250 mg + 25 mg,comprimido
levofloxacino,250.0 mg,comprimido
levofloxacino,500.0 mg,comprimido
levonorgestrel,"0,75 mg",comprimido
levonorgestrel,"1,5 mg",comprimido
levotiroxina sódica,100.0 mcg,comprimido
levotiroxina sódica,"12,5 mcg",comprimido
levotiroxina sódica,25.0 mcg,comprimido
levotiroxina sódica,"37,5 mcg",comprimido
levotiroxina sódica,50.0 mcg,comprimido
linezolida,2 mg/mL,solução para infusão
linezolida,600.0 mg,comprimido
lopinavir + ritonavir,100 mg + 25 mg,comprimido
lopinavir + ritonavir,200 mg + 50 mg,comprimido
lopinavir + ritonavir,80 mg/mL + 20 mg/mL,solução oral
loratadina,1 mg/mL,xarope
loratadina,10.0 mg,comprimido
losartana potássica,50.0 mg,comprimido
maleato de dexclorfeniramina,"0,4 mg/mL",solução oral
maleato de dexclorfeniramina,"0,4 mg/mL",xarope
maleato de dexclorfeniramina,2.0 mg,comprimido
maleato de enalapril,10.0 mg,comprimido
maleato de enalapril,20.0 mg,comprimido
maleato de enalapril,5.0 mg,comprimido
maleato de timolol,"2,5 mg/mL (0,25%)",solução oftálmica
maleato de timolol,"5 mg/mL (0,5%)",solução oftálmica
maraviroque,150.0 mg,comprimido
medicamentos homeopáticos,Conforme Farmacopeia Homeopática Brasileira vigente,Conforme Farmacopeia Homeopática Brasileira vigente
mepolizumabe,100 mg/mL,solução injetável
mepolizumabe,100.0 mg,pó para solução injetável
mepolizumabe,"40 mg/0,4 mL",solução injetável
mesalazina,1.0 mg,supositório retal
mesalazina,10 mg/mL,enema
mesalazina,2.0 g,granulado revestido de liberação prolongada
mesalazina,250.0 mg,supositório retal
mesalazina,400.0 mg,comprimido
mesalazina,500.0 mg,comprimido de liberação prolongada
mesalazina,500.0 mg,supositório retal
mesalazina,800.0 mg,comprimido
mesilato de bromocriptina,"2,5 mg",comprimido
mesilato de desferroxamina,500.0 mg,pó para solução injetável
mesilato de doxazosina,2.0 mg,comprimido
mesilato de doxazosina,4.0 mg,comprimido
mesilato de rasagilina,1.0 mg,comprimido
metildopa,250.0 mg,comprimido
metilsulfato de pralidoxima,200.0 mg,solução injetável
metotrexato,1,comprimido
metotrexato,"2,5 mg",comprimido
metotrexato,25 mg/mL,solução injetável
metronidazol,100 mg/g (10%),gel vaginal
metronidazol,250.0 mg,comprimido
metronidazol,400.0 mg,comprimido
micofenolato de mofetila,500.0 mg,comprimido
micofenolato de sódio,180.0 mg,comprimido
micofenolato de sódio,360.0 mg,comprimido
micronutrientes,"cada sachê de 1 g contém: vitamina A 400 mcg, vitamina D 5 mcg, vitamina E 5 mg, vitamina C 30 mg, vitamina B1 0,5 mg, vitamina B2 0,5 mg, vitamina B6 0,5 mg, vitamina PP 6 mg, vitamina B9 150 mcg, vitamina B12 0,9 mcg, ferro 10 mg, zinco 4,1 mg, cobre 560 mcg, selênio 17 mcg, iodo 90 mcg",pó
midazolam,2 mg/mL,solução oral
miglustate,100.0 mg,cápsula
miltefosina,10.0 mg,cápsula
miltefosina,50.0 mg,cápsula
misoprostol,200.0 mcg,comprimido vaginal
misoprostol,25.0 mcg,comprimido vaginal
mononitrato de isossorbida,20.0 mg,comprimido
mononitrato de isossorbida,40.0 mg,comprimido
naproxeno,250.0 mg,comprimido
naproxeno,500.0 mg,comprimido
natalizumabe,20 mg/mL,solução injetável
nevirapina,10 mg/mL,suspensão oral
nevirapina,200.0 mg,comprimido
nicotina,14.0 mg,adesivo transdérmico
nicotina,2.0 mg,goma de mascar
nicotina,2.0 mg,pastilha
nicotina,21.0 mg,adesivo transdérmico
nicotina,7.0 mg,adesivo transdérmico
nifedipino,10.0 mg,comprimido
nifedipino,10.0 mg,cápsula
nifurtimox,120.0 mg,comprimido
nirmatrelvir + ritonavir,150 mg + 100 mg,comprimido
nistatina,100.000 UI/mL,suspensão oral
nitrato de miconazol,2% (20 mg/g),creme
nitrato de miconazol,2% (20 mg/g),creme vaginal
nitrato de miconazol,2% (20 mg/g),gel oral
nitrato de miconazol,2% (20 mg/g),loção
nitrato de miconazol,2% (20 mg/g),pó
nitrofurantoína,100.0 mg,cápsula
nitrofurantoína,5 mg/mL,suspensão oral
noretisterona,"0,35 mg",comprimido
nusinersena,"2,4 mg/mL",solução injetável
ofloxacino,400.0 mg,comprimido
olanzapina,10.0 mg,comprimido
olanzapina,5.0 mg,comprimido
omalizumabe,150.0 mg,pó para solução injetável
omalizumabe,150.0 mg,solução injetável
omeprazol,10.0 mg,cápsula
omeprazol,20.0 mg,cápsula
onasemnogeno abeparvoveque,"2,0 x 1013 gv/mL",suspensão injetável
oxamniquina,50 mg/mL,suspensão oral
palivizumabe,"100 mg/mL (frasco de 0,5 mL e 1 mL)",solução injetável
palmitato de retinol,100.0 UI,cápsula
palmitato de retinol,150.000 UI/mL,solução oral
palmitato de retinol,200.0 UI,cápsula
pamidronato dissódico,60.0 mg,pó para solução injetável
pamoato de pasireotida,40.0 mg,pó para suspensão injetável
pamoato de pasireotida,60.0 mg,pó para suspensão injetável
pancreatina,10.0 UI,cápsula
pancreatina,25.0 UI,cápsula
paracetamol,200 mg/mL,solução oral
paracetamol,500.0 mg,comprimido
paricalcitol,5 mcg/mL,solução injetável
pasta de óxido de zinco (FN),250 mg/g (25%),pasta
penicilamina,250.0 mg,cápsula
pentoxifilina,400.0 mg,comprimido de liberação prolongada
permanganato de potássio,100 mg (FN),pó
permanganato de potássio,100.0 mg,comprimido para uso tópico
permanganato de potássio (FN),100 mg (FN),pó
permanganato de potássio (FN),100.0 mg,comprimido para uso tópico
permetrina,10 mg/g (1%) 10 mg/mL (1%),loção
permetrina,50 mg/g (5%) 50 mg/mL (5%),loção
peróxido de benzoíla (FN),"25 mg/g (2,5%)",gel
peróxido de benzoíla (FN),50 mg/g (5%),gel
pirazinamida,150.0 mg,comprimido dispersível
pirazinamida,30 mg/mL (3%),suspensão oral
pirazinamida,500.0 mg,comprimido
pirimetamina,25.0 mg,comprimido
plantago (Plantago ovata Forssk.),3 a 30 g (dose diária),pó para dispersão oral
podofilina (FN),100 mg/mL (10%) a 250 mg/mL (25%),solução para uso tópico
podofilotoxina,"1,5 mg/g",creme
pravastatina sódica,10.0 mg,comprimido
pravastatina sódica,20.0 mg,comprimido
pravastatina sódica,40.0 mg,comprimido
praziquantel,600.0 mg,comprimido
prednisona,20.0 mg,comprimido
prednisona,5.0 mg,comprimido
preservativo externo,-,160 mm x 49 mm
preservativo externo,-,160 mm x 52 mm
preservativo interno,-,até 20 cm
pretomanida,200.0 mg,comprimido
primidona,100.0 mg,comprimido
primidona,250.0 mg,comprimido
propiltiouracila,100.0 mg,comprimido
propionato de clobetasol,"0,5 mg/g",creme
propionato de clobetasol,"0,5 mg/g",solução capilar
raltegravir potássico,100.0 mg,comprimido mastigável
raltegravir potássico,100.0 mg,granulado para suspensão oral
raltegravir potássico,400.0 mg,comprimido
ravulizumabe,100 mg/mL,solução para diluição para infusão
ribavirina,250.0 mg,cápsula
rifabutina,150.0 mg,cápsula
rifampicina,300.0 mg,cápsula
rifampicina + isoniazida,150 mg + 75 mg,comprimido
rifampicina + isoniazida,300 mg + 150 mg,comprimido
rifampicina + isoniazida,75 mg + 50 mg,comprimidos dispersíveis
rifampicina + isoniazida + pirazinamida,75 mg + 50 mg + 150 mg,comprimidos dispersíveis
rifampicina + isoniazida + pirazinamida + cloridrato de etambutol,150 mg + 75 mg + 400 mg + 275 mg,comprimido
rifampicina*,150.0 mg*,cápsula
rifampicina*,20 mg/mL,suspensão oral
rifampicina*,20mg/mL,suspensão oral
rifampicina*,300.0 mg,cápsula
rifampicina*,300.0 mg*,cápsula
rifapentina,150.0 mg,comprimido
rifapentina + isoniazida,300 mg + 300 mg,comprimido
riluzol,50.0 mg,comprimido
risanquizumabe,"75 mg/ 0,83 mL",solução injetável
risanquizumabe,"75 mg/0,83 mL",solução injetável
risdiplam,"0,75 mg/mL",pó para solução oral
risedronato sódico,35.0 mg,comprimido
risperidona,1 mg/mL,solução oral
risperidona,1.0 mg,comprimido
risperidona,2.0 mg,comprimido
risperidona,3.0 mg,comprimido
ritonavir,100.0 mg,comprimido
rituximabe,10 mg/mL,solução para diluição para infusão
rivastigmina,"1,5 mg",cápsula
rivastigmina,18.0 mg,adesivo transdérmico
rivastigmina,2 mg/mL,solução oral
rivastigmina,3.0 mg,cápsula
rivastigmina,"4,5 mg",cápsula
rivastigmina,6.0 mg,cápsula
rivastigmina,9.0 mg,adesivo transdérmico
romosozumabe,90 mg/mL,solução injetável
sacarato de hidróxido férrico,20 mg/mL,solução injetável
sacubitril valsartana sódica hidratada,100.0 mg,comprimido
sacubitril valsartana sódica hidratada,200.0 mg,comprimido
sacubitril valsartana sódica hidratada,50.0 mg,comprimido
sais para reidratação oral,"cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado",pó para solução oral
salgueiro (Salix alba L.),60 a 240 mg de salicina (dose diária),comprimido
salgueiro (Salix alba L.),60 a 240 mg de salicina (dose diária),elixir
salgueiro (Salix alba L.),60 a 240 mg de salicina (dose diária),solução oral
secuquinumabe,150 mg/mL,solução injetável
selexipague,1.0 mcg,comprimido
selexipague,1.20 mcg,comprimido
selexipague,1.40 mcg,comprimido
selexipague,1.60 mcg,comprimido
selexipague,200.0 mcg,comprimido
selexipague,400.0 mcg,comprimido
selexipague,600.0 mcg,comprimido
selexipague,800.0 mcg,comprimido
seringas com agulha acoplada para aplicação de insulina,-,unidade
sinvastatina,10.0 mg,comprimido
sinvastatina,20.0 mg,comprimido
sinvastatina,40.0 mg,comprimido
sirolimo,1 mg/mL,solução oral
sirolimo,1.0 mg,comprimido
sirolimo,2.0 mg,comprimido
sofosbuvir,400.0 mg,comprimido
sofosbuvir + velpatasvir,400 mg + 100 mg,comprimido
sofosbuvir + velpatasvir + voxilaprevir,400 mg + 100 mg + 100 mg,comprimido
solução ringer + lactato,"lactato de sódio 3 mg/mL + cloreto de sódio 6 mg/mL + cloreto de potássio 0,3 mg/mL + cloreto de cálcio 0,2 mg/mL",solução injetável
solução ringer + lactato,"lactato de sódio 3 mg/mL + cloreto de sódio 6 mg/mL + cloreto de potássio 0/ ,3 mg/mL + cloreto de cálcio 0,2 mg/mL",solução injetável
somatropina,12.0 UI,pó para solução injetável
somatropina,12.0 UI,solução injetável
somatropina,15.0 UI,pó para solução injetável
somatropina,15.0 UI,solução injetável
somatropina,16.0 UI,pó para solução injetável
somatropina,16.0 UI,solução injetável
somatropina,18.0 UI,pó para solução injetável
somatropina,18.0 UI,solução injetável
somatropina,24.0 UI,pó para solução injetável
somatropina,24.0 UI,solução injetável
somatropina,30.0 UI,pó para solução injetável
somatropina,30.0 UI,solução injetável
somatropina,4.0 UI,pó para solução injetável
somatropina,4.0 UI,solução injetável
"soro antiaracnídico (Loxosceles, Phoneutria e Tityus)","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 Dose Mínima Mortal (DMM) de veneno de Tityus serrulatus (1,5 DMM/ mL), 1,5 DMM de veneno de Phoneutria nigriventer (1,5 DMM/mL) e 15 DMN (Dose Mínima Necrosante) de veneno de Loxosceles gaucho (15 DMN/mL)",solução injetável
"soro antiaracnídico (Loxosceles, Phoneutria e Tityus)","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 Dose Mínima Mortal (DMM) de veneno de Tityus serrulatus (1,5 DMM/mL), 1,5 DMM de veneno de Phoneutria nigriventer (1,5 DMM/mL) e 15 DMN (Dose Mínima Necrosante) de veneno de Loxosceles gaucho (15 DMN/mL)",solução injetável
soro antibotrópico (pentavalente),"cada mL contém imunoglobulinas (IgG) que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca (5 mg/mL)",solução injetável
soro antibotrópico (pentavalente) e anticrotálico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca e a 1,5 mg de veneno de Crotalus durissus terrifcus (5 mg/ mL e 1,5 mg/mL)",solução injetável
soro antibotrópico (pentavalente) e anticrotálico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca e a 1,5 mg de veneno de Crotalus durissus terrifcus (5 mg/mL e 1,5 mg/mL)",solução injetável
soro antibotrópico (pentavalente) e antilaquético,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca e 3 mg de veneno de Lachesis muta (5 mg/mL e 3 mg/mL)",solução injetável
soro antibotulínico AB (bivalente),"cada mL contém imunoglobulinas que neutralizam, no mínimo, 375 UI de toxina botulínica tipo A e 275 UI de toxina botulínica tipo B (375 UI/mL e 275 UI/mL)",solução injetável
soro anticrotálico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 mg de veneno Crotalus durissus terrifcus (1,5 mg/mL)",solução injetável
soro anticrotálico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 mg de veneno Crotalus durissus terrificus (1,5 mg/mL)",solução injetável
soro antidiftérico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 1.000 UI de toxina diftérica (1.000 UI/mL)",solução injetável
soro antielapídico (bivalente),"cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 mg de veneno de Micrurus frontalis (1,5 mg/mL)",solução injetável
soro antiescorpiônico,"cada mL contém imunoglobulinas que neutralizam, no mínimo 1,5 DMM (Dose Mínima Mortal) de veneno de Tityus serrulatus (1,5 DMM/mL)",solução injetável
soro antilonômico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 0,35 mg de veneno de Lonomia obliqua (0,35 mg/mL)",solução injetável
soro antiloxoscélico (trivalente),"cada mL contém imunoglobulinas que neutralizam, no mínimo, 15 DMN (Dose Mínima Necrosante) de veneno de aranhas das espécies Loxosceles laeta, Loxosceles gaucho e Loxosceles intermedia (15 DMN/mL)",solução injetável
soro antirrábico,"cada mL contém imonoglobulinas que neutralizam, no mínimo, 200 UI de vírus da raiva (200 UI/ mL)",solução injetável
soro antirrábico,"cada mL contém imonoglobulinas que neutralizam, no mínimo, 200 UI de vírus da raiva (200 UI/mL)",solução injetável
soro antitetânico,"cada mL contém imunoglobulinas que neutralizam, no mínimo, 1.000 UI de toxina tetânica",solução injetável
succinato de metilprednisolona,500.0 mg,pó para solução injetável
succinato de metoprolol,100.0 mg,comprimido de liberação prolongada
succinato de metoprolol,25.0 mg,comprimido de liberação prolongada
succinato de metoprolol,50.0 mg,comprimido de liberação prolongada
succinato de tafenoquina,150.0 mg,comprimido
succinato sódico de hidrocortisona,100.0 mg,pó para solução injetável
succinato sódico de hidrocortisona,500.0 mg,pó para solução injetável
succinato sódico de metilprednisolona,500.0 mg,pó para solução injetável
sulfadiazina,500.0 mg,comprimido
sulfadiazina de prata,10 mg/g (1%),creme
sulfametoxazol + trimetoprima,40 mg/mL + 8 mg/mL,suspensão oral
sulfametoxazol + trimetoprima,400 mg + 80 mg,comprimido
sulfametoxazol + trimetoprima,80 mg/mL + 16 mg/mL,solução injetável
sulfassalazina,500.0 mg,comprimido
sulfato de Isavuconazônio,100.0 mg,cápsula
sulfato de Isavuconazônio,200.0 mg,pó liofilizado para solução injetável
sulfato de abacavir,20 mg/mL,solução oral
sulfato de abacavir,300.0 mg,comprimido
sulfato de amicacina,250 mg/mL,solução injetável
sulfato de atazanavir,300.0 mg,cápsula
sulfato de atropina,"0,25 mg/mL",solução injetável
sulfato de estreptomicina,1.0 g,pó para solução injetável
sulfato de gentamicina,40 mg/mL,solução injetável
sulfato de hidroxicloroquina,400.0 mg,comprimido
sulfato de isavuconazônio,100.0 mg,cápsula
sulfato de isavuconazônio,200.0 mg,pó liofilizado para solução injetável
sulfato de magnésio,-,pó para solução oral
sulfato de magnésio,"10% (0,81 mEq/mL Mg++)",solução injetável
sulfato de magnésio,"50% (4,05 mEq/mL Mg++)",solução injetável
sulfato de morfina,10 mg/mL,solução injetável
sulfato de morfina,10 mg/mL,solução oral
sulfato de morfina,10.0 mg,comprimido
sulfato de morfina,100.0 mg,cápsula de liberação prolongada
sulfato de morfina,30.0 mg,comprimido
sulfato de morfina,30.0 mg,cápsula de liberação prolongada
sulfato de morfina,60.0 mg,cápsula de liberação prolongada
sulfato de polimixina B + sulfato de neomicina + fluocinolona acetonida + cloridrato de lidocaína,"10.000 UI/mL + 3,500 mg/mL + 0,250 mg/mL + 20 mg/mL",solução otológica
sulfato de salbutamol,"0,5 mg/mL",solução injetável
sulfato de salbutamol,100 mcg/dose,suspensão aerossol
sulfato de salbutamol,5 mg/mL,solução para inalação
sulfato de zinco,10.0 mg,comprimido mastigável
sulfato de zinco,200 mcg/mL,solução injetável
sulfato de zinco,equivalente a 4 mg/mL de zinco elementar,xarope
sulfato ferroso,Equivalente a 25 mg/mL de ferro elementar,solução oral
sulfato ferroso,Equivalente a 40 mg de ferro elementar,comprimido
sulfato ferroso,Equivalente a 5 mg/mL de ferro elementar,xarope
sulfato ferroso,equivalente a 25 mg/mL de ferro elementar,solução oral
sulfato ferroso,equivalente a 40 mg de ferro elementar,comprimido
sulfato ferroso,equivalente a 5 mg/mL de ferro elementar,xarope
tacrolimo,1.0 mg,cápsula
tacrolimo,5 mg/mL,solução injetável
tacrolimo,5.0 mg,cápsula
tafamidis,61.0 mg,cápsula
tafamidis meglumina,20.0 mg,cápsula
talidomida,100.0 mg,comprimido
tartarato de brimonidina,"2 mg/mL (0,2%)",solução oftálmica
tartarato de metoprolol,100.0 mg,comprimido
teclozana,10 mg/mL,suspensão oral
teclozana,500.0 mg,comprimido
tenecteplase,40.0 mg,pó para solução injetável
tenecteplase,50.0 mg,pó para solução injetável
teriflunomida,14.0 mg,comprimido
terizidona,250.0 mg,cápsula
teste quantitativo da atividade da enzima glicose-6-fosfato desidrogenase (G6PD),-,-
teste tuberculínico (Derivado Proteico Purificado – PPD),-,-
tiamazol,10.0 mg,comprimido
tiamazol,5.0 mg,comprimido
tipranavir,100 mg/mL,solução oral
tipranavir,250.0 mg,cápsula
tiras reagentes de medida de glicemia capilar,-,unidade
tobramicina,300.0 mg,solução inalatória
tocilizumabe,20 mg/mL,solução injetável
tofacitinibe,5.0 mg,comprimido
topiramato,100.0 mg,comprimido
topiramato,25.0 mg,comprimido
topiramato,50.0 mg,comprimido
toxina botulínica A,100.0 U,pó para solução injetável
toxina botulínica A,500.0 U,pó para solução injetável
travoprosta,"0,04 mg/mL (0,004%)",solução oftálmica
triptorrelina,"3,75 mg",pó para suspensão injetável de liberação prolongada
unha-de-gato (Uncaria tomentosa (Willd. ex Roem. & Schult.)),"0,9 mg de alcaloides oxindólicos pentaclíclicos",comprimido
unha-de-gato (Uncaria tomentosa (Willd. ex Roem. & Schult.)),"0,9 mg de alcaloides oxindólicos pentaclíclicos",cápsula
unha-de-gato (Uncaria tomentosa (Willd. ex Roem. & Schult.)),"0,9 mg de alcaloides oxindólicos pentaclíclicos",gel
upadacitinibe,15.0 mg,comprimido de liberação prolongada
ustequinumabe,130.0 mg,solução injetável
ustequinumabe,45.0 mg,solução injetável
vacina BCG,-,pó para suspensão injetável
vacina Haemophilus influenzae B (conjugada),-,pó para solução injetável
vacina adsorvida difteria e tétano adulto,-,suspensão injetável
